"id","x","y","z","seq_id"
"47","368595.4625","141375.8982","0","1"
"48","369821.8028","140798.1099","0","0"
"48","369490.8663","141102.9253","0","1"
"49","368331.1236","140778.7908","0","0"
"49","368955.0503","140787.3796","0","1"
"49","369003.4276","140787.0028","0","2"
"49","369040.4133","140783.6968","0","3"
"49","369078.3104","140771.6648","0","4"
"49","369100.9003","140743.2659","0","5"
"49","369103.5013","140706.2564","0","6"
"49","369139.1777","140198.6238","0","7"
"50","367620.5347","140949.5862","0","0"
"50","368297.282","140786.6467","0","1"
"51","367649.0693","141504.3992","0","0"
"51","367243.6376","141795.3932","0","1"
"52","367672.8626","141485.7748","0","0"
"52","367683.9175","141252.1937","0","1"
"52","367617.1426","140960.3178","0","2"
"53","367609.5632","140925.4275","0","0"
"53","367589.2045","140883.2953","0","1"
"53","367524.8252","140838.9101","0","2"
"53","367289.8604","140729.8122","0","3"
"53","367017.791","140686.544","0","4"
"53","366718.4967","140760.9249","0","5"
"53","366654.6397","140798.5031","0","6"
"54","366630.6267","140826.0412","0","0"
"54","366482.8435","141092.9276","0","1"
"54","366482.8435","141233.8169","0","2"
"54","366486.7797","141405.5375","0","3"
"55","366633.8573","140797.9221","0","0"
"55","366090.8039","140272.0948","0","1"
"56","368320.3198","140169.6038","0","0"
"56","368308.3464","140757.4233","0","1"
"57","368334.9305","140138.4803","0","0"
"57","368520.216","139648.1801","0","1"
"58","368292.4101","139075.9192","0","0"
"58","368504.689","139616.2944","0","1"
"59","367381.8654","139635.6476","0","0"
"59","367400.3232","139636.6866","0","1"
"59","367540.6399","139644.5848","0","2"
"59","367805.046","139648.5514","0","3"
"59","368499.3206","139639.8376","0","4"
"60","365461.5236","139844.1367","0","0"
"60","365835.6402","139525.9011","0","1"
"60","366080.0866","139514.6497","0","2"
"60","366185.9668","139535.8707","0","3"
"60","366193.437","139537.336","0","4"
"61","366193.437","139537.336","0","0"
"61","366200.9073","139538.8013","0","1"
"61","366327.4114","139571.8068","0","2"
"61","366423.0483","139626.5382","0","3"
"61","366591.445","139807.7417","0","4"
"61","366739.9355","139916.7311","0","5"
"61","366747.4887","139921.7968","0","6"
"62","366747.4887","139921.7968","0","0"
"62","366755.0418","139926.8626","0","1"
"62","366858.0672","140006.0588","0","2"
"62","367136.1788","140131.1712","0","3"
"62","367579.4471","140173.5878","0","4"
"62","367630.9961","140173.1345","0","5"
"62","367635.8842","140173.0531","0","6"
"63","367635.8842","140173.0531","0","0"
"63","367640.7723","140172.9717","0","1"
"63","367929.1681","140174.3464","0","2"
"63","368309.5888","140159.4112","0","3"
"64","369150.2969","140184.7358","0","0"
"64","369798.0886","140206.1718","0","1"
"65","369808.0123","140217.8287","0","0"
"65","369826.465","140776.6161","0","1"
"66","369821.1166","140184.5114","0","0"
"66","369855.1678","139688.941","0","1"
"67","369834.778","139664.2489","0","0"
"67","368530.4111","139625.6264","0","1"
"68","369830.9811","139090.5637","0","0"
"68","369842.3268","139655.8288","0","1"
"69","370527.5095","139692.9387","0","0"
"69","370523.8612","139692.7625","0","1"
"69","369860.8065","139668.2343","0","2"
"70","371201.59","139716.2995","0","0"
"70","370531.1579","139693.1149","0","1"
"70","370527.5095","139692.9387","0","2"
"71","371424.4274","140450.2797","0","0"
"71","371228.5962","139731.0887","0","1"
"72","371231.971","139711.9848","0","0"
"72","371633.3055","139394.0082","0","1"
"73","371442.8778","140458.3705","0","0"
"73","372740.0764","140078.1296","0","1"
"74","369850.7021","140790.5544","0","0"
"74","371077.1467","140583.3009","0","1"
"75","371092.0387","140590.102","0","0"
"75","371306.7681","141010.2318","0","1"
"75","371342.1293","141249.1309","0","2"
"75","371345.4014","141681.9989","0","3"
"76","371106.6394","140578.0465","0","0"
"76","371411.2193","140471.6987","0","1"
"77","371945.2764","141510.4131","0","0"
"77","371971.607","140988.5829","0","1"
"77","371940.9789","140823.1912","0","2"
"77","371751.0847","140712.9301","0","3"
"77","371439.3023","140467.0855","0","4"
"78","369919.2605","142711.2914","0","0"
"78","370476.4298","142754.7727","0","1"
"79","369894.3774","142719.66","0","0"
"79","369876.4362","143022.4975","0","1"
"79","369643.1414","143333.0245","0","2"
"79","369228.5817","143959.5115","0","3"
"80","370480.7244","142768.6381","0","0"
"80","370439.2134","143038.8854","0","1"
"80","370445.3497","143259.7898","0","2"
"80","370500.4733","143449.6602","0","3"
"80","370500.4733","143810.6943","0","4"
"80","370468.9929","144023.9201","0","5"
"81","371415.2586","142739.1919","0","0"
"81","370508.0358","142752.3144","0","1"
"82","371235.6714","143548.8497","0","0"
"82","371226.4908","143700.7358","0","1"
"82","371206.2597","143784.0699","0","2"
"82","371188.337","143848.9719","0","3"
"82","371149.8439","143888.9246","0","4"
"82","371098.1463","143900.8732","0","5"
"82","371040.0331","143900.941","0","6"
"83","371243.0409","143521.754","0","0"
"83","371243.0409","143364.323","0","1"
"83","371188.6909","143292.1393","0","2"
"83","371067.604","143298.4685","0","3"
"83","371001.1725","143389.1988","0","4"
"83","371013.0844","143498.9849","0","5"
"83","371007.1624","143572.5262","0","6"
"84","365035.7238","139522.2908","0","0"
"84","365426.2607","139843.3158","0","1"
"85","364666.8203","143064.7152","0","0"
"85","364907.6597","143084.188","0","1"
"85","365106.5059","143072.5123","0","2"
"85","365413.3567","142832.4734","0","3"
"85","365659.377","142617.3283","0","4"
"85","365650.5492","142254.7771","0","5"
"85","365622.8161","141895.8206","0","6"
"85","365759.2198","141672.9618","0","7"
"87","367345.6673","144038.0777","0","0"
"87","367369.6657","144642.4459","0","1"
"88","371754.5603","144730.2487","0","0"
"88","371686.1992","144594.179","0","1"
"88","371723.5304","144452.5724","0","2"
"88","371882.8699","144136.1693","0","3"
"89","371863.6606","144106.2649","0","0"
"89","371698.0164","144079.9515","0","1"
"89","371223.2732","144084.8502","0","2"
"89","371218.4761","144084.5634","0","3"
"90","371893.7544","144105.6511","0","0"
"90","371941.8929","143954.1244","0","1"
"90","371963.7179","143514.2578","0","2"
"91","371040.3157","143907.4542","0","0"
"91","371098.3878","143908.0456","0","1"
"91","371149.5184","143896.6495","0","2"
"91","371194.6923","143852.1524","0","3"
"91","371214.7148","143785.0165","0","4"
"91","371234.2437","143701.7118","0","5"
"91","371242.0827","143548.7347","0","6"
"92","371218.4761","144084.5634","0","0"
"92","371213.5102","144083.0893","0","1"
"92","370934.5615","144065.4801","0","2"
"93","366197.8779","139527.1993","0","0"
"93","366191.722","139525.5559","0","1"
"93","366082.3288","139502.8769","0","2"
"93","365830.8136","139512.0653","0","3"
"93","365456.7082","139834.2465","0","4"
"94","367635.6896","140159.3155","0","0"
"94","367630.904","140159.2198","0","1"
"94","367582.392","140158.7708","0","2"
"94","367141.3475","140118.9543","0","3"
"94","366865.6946","139996.4419","0","4"
"94","366761.7124","139916.1084","0","5"
"94","366756.7788","139912.5888","0","6"
"95","366756.7788","139912.5888","0","0"
"95","366751.8453","139909.0692","0","1"
"95","366602.293","139794.2965","0","2"
"95","366429.6267","139618.0803","0","3"
"95","366330.6599","139561.523","0","4"
"95","366204.0338","139528.8426","0","5"
"95","366197.8779","139527.1993","0","6"
"97","371624.7933","139380.2474","0","0"
"97","371225.4469","139704.1311","0","1"
"98","371216.7391","139738.8767","0","0"
"98","371409.971","140453.7689","0","1"
"99","372737.7681","140057.6207","0","0"
"99","371436.2487","140450.524","0","1"
"100","371407.4406","140462.0583","0","0"
"100","371107.6748","140564.7355","0","1"
"101","371424.6459","140479.0196","0","0"
"101","371748.8824","140740.9545","0","1"
"101","371912.7859","140836.3479","0","2"
"101","371946.5561","140987.3418","0","3"
"101","371928.9205","141507.4067","0","4"
"102","371022.1279","143575.0832","0","0"
"102","371028.8081","143499.6155","0","1"
"102","371013.1817","143387.8046","0","2"
"102","371072.6212","143303.9397","0","3"
"102","371186.2959","143299.7303","0","4"
"102","371233.9973","143368.9916","0","5"
"102","371235.5256","143521.5412","0","6"
"103","371250.4208","143543.5502","0","0"
"103","371944.7611","143509.9924","0","1"
"104","371971.6123","143506.5817","0","0"
"104","372342.2812","143527.0877","0","1"
"105","371965.4642","143483.8635","0","0"
"105","371943.8839","141540.3655","0","1"
"106","371916.6521","141524.7595","0","0"
"106","371370.2152","141689.8327","0","1"
"107","371339.133","141697.7428","0","0"
"107","370510.4655","141978.5687","0","1"
"108","371364.5709","141682.1104","0","0"
"108","371367.8529","141241.4143","0","1"
"108","371328.9726","141004.7917","0","2"
"108","371106.2309","140586.2315","0","3"
"109","371073.7293","140573.1519","0","0"
"109","369850.7518","140778.3024","0","1"
"110","369842.3761","139688.0031","0","0"
"110","369809.9122","140184.1557","0","1"
"111","369839.499","140775.6633","0","0"
"111","369822.0097","140217.8726","0","1"
"112","369112.2746","140170.7822","0","0"
"112","368340.9811","140146.7316","0","1"
"113","369498.5232","141112.9316","0","0"
"113","369836.7003","140802.2001","0","1"
"114","370487.2029","141965.0595","0","0"
"114","369868.4939","141477.7903","0","1"
"114","369641.5143","141357.9906","0","2"
"114","369497.6501","141125.8081","0","3"
"115","368598.4693","141385.5731","0","0"
"115","369469.9935","141133.0515","0","1"
"116","368238.1467","143971.1315","0","0"
"116","367373.7046","144004.9288","0","1"
"117","367396.4147","144639.528","0","0"
"117","367365.9066","144039.1159","0","1"
"118","367331.249","144005.3029","0","0"
"118","366370.4542","143969.6704","0","1"
"119","366352.6344","143956.4025","0","0"
"119","366296.4473","142956.9146","0","1"
"120","366031.6666","144218.3312","0","0"
"120","366332.6234","143989.3145","0","1"
"121","366011.71","144237.9259","0","0"
"121","366072.427","144609.0327","0","1"
"121","366073.013","144613.4891","0","2"
"122","365340.7784","143673.5188","0","0"
"122","365996.644","144223.0084","0","1"
"123","365322.8522","143658.9637","0","0"
"123","364794.451","143694.2646","0","1"
"124","366273.3117","142943.7703","0","0"
"124","365698.7643","143322.6528","0","1"
"124","365348.3837","143645.6355","0","2"
"125","365747.0816","141664.4635","0","0"
"125","365594.6288","141895.3837","0","1"
"125","365625.2569","142256.7952","0","2"
"125","365631.3825","142618.2067","0","3"
"125","365392.4833","142808.1009","0","4"
"125","365092.328","143047","0","5"
"125","364920.8107","143059.2512","0","6"
"125","364670.9705","143044.0808","0","7"
"126","365755.2467","141642.0917","0","0"
"126","365165.8355","140958.164","0","1"
"126","364945.3132","140933.6616","0","2"
"126","364798.1728","140939.0574","0","3"
"127","365775.873","141644.987","0","0"
"127","366014.5327","141433.9045","0","1"
"128","366288.2856","142174.8889","0","0"
"128","365776.2929","141664.4874","0","1"
"129","367217.5467","142490.6095","0","0"
"129","366868.7574","142446.6894","0","1"
"129","366684.9889","142379.3076","0","2"
"129","366310.7051","142192.1976","0","3"
"130","366296.2213","142928.4955","0","0"
"130","366300.313","142206.2828","0","1"
"131","367332.2723","143043.7625","0","0"
"131","366303.5159","142939.5861","0","1"
"132","367226.8444","142507.9281","0","0"
"132","367343.4965","143039.7383","0","1"
"133","367350.5532","143064.7855","0","0"
"133","368240.4709","143960.9336","0","1"
"134","368265.6198","143980.4606","0","0"
"134","369221.0993","143983.2113","0","1"
"135","369246.003","143980.0471","0","0"
"135","369899.965","144015.9386","0","1"
"136","369246.8785","143960.6213","0","0"
