id,turning_path1,turning_path2,cd1,cd2,priority,gap_time,tags
1868,717,716,16.0554882,12.86340977,0,2.5,
1870,719,718,5.231035069,2.06215946,0,2.5,
1887,339,89,30.9820674,31.75160912,0,2.5,
1889,345,89,11.68977323,31.75160912,0,2.5,
1890,345,339,11.68977323,30.9820674,0,2.5,
1893,176,167,28.69057787,13.33052936,0,2.5,
1895,415,167,31.03120128,13.33052936,0,2.5,
1896,415,176,31.03120128,28.69057787,0,2.5,
1917,706,705,23.69432,17.61073266,0,2.5,
1919,714,705,20.56261032,17.61073266,0,2.5,
1920,714,706,20.56261032,23.69432,0,2.5,
2,4,1,36.2750941,11.5009004,0,2.5,
88,326,22,27.93164665,20.0088196,0,2.5,
92,29,23,29.53326443,7.353387025,0,2.5,
96,295,24,7.880833931,27.12071946,0,2.5,
130,323,31,31.49538561,15.41031827,0,2.5,
140,53,35,33.97059442,10.88855938,0,2.5,
152,320,38,5.141455472,30.81633129,0,2.5,
172,44,41,12.11199684,34.43812035,0,2.5,
180,315,42,30.61180966,11.68265385,0,2.5,
184,215,43,5.927642018,27.76600762,0,2.5,
204,311,47,33.58061938,15.45278264,0,2.5,
228,64,56,32.70100897,15.8395326,0,2.5,
286,374,63,28.63973137,7.301497946,0,2.5,
326,379,70,7.164844476,30.89432209,0,2.5,
352,123,74,33.52164007,10.05229827,0,2.5,
360,358,75,20.4125495,36.36367727,0,2.5,
388,348,83,16.40661967,37.75403364,0,2.5,
398,748,84,25.33384206,7.04208224,0,2.5,
514,111,108,9.859954138,26.77029528,0,2.5,
522,222,109,30.54139204,14.89360994,0,2.5,
528,249,110,6.889117915,32.38488673,0,2.5,
574,209,119,32.379031,7.387394307,0,2.5,
590,262,122,37.97077654,10.63576849,0,2.5,
612,357,126,28.19961348,13.26857894,0,2.5,
646,146,133,34.87157411,15.42771397,0,2.5,
652,382,134,9.202801,34.3468043,0,2.5,
750,388,149,33.83100134,17.95920494,0,2.5,
772,158,152,31.51564044,12.94563688,0,2.5,
776,156,153,6.973846234,29.55512109,0,2.5,
784,171,154,32.449161,9.326567712,0,2.5,
800,411,159,31.93592551,12.54433008,0,2.5,
818,392,161,10.67929048,31.95080651,0,2.5,
832,265,164,37.05546639,19.63269905,0,2.5,
934,263,186,4.131944174,30.5446413,0,2.5,
974,197,192,4.148885297,33.39211041,0,2.5,
996,235,194,30.1914408,12.43901302,0,2.5,
1002,237,195,9.649800564,21.45132087,0,2.5,
1030,744,199,30.9339054,11.77814577,0,2.5,
1034,341,200,12.75651413,32.65702321,0,2.5,
1062,647,204,7.73105089,32.46078199,0,2.5,
1084,658,206,38.55396501,10.30403642,0,2.5,
1114,745,210,33.99345362,12.64360837,0,2.5,
1132,316,217,17.25299067,32.11787021,0,2.5,
1140,250,221,26.91496822,8.820161469,0,2.5,
1164,238,234,31.13559317,5.011842026,0,2.5,
1204,749,261,39.95566939,25.31957025,0,2.5,
1238,390,276,29.20787422,7.631865096,0,2.5,
1244,412,277,14.40553701,31.69818304,0,2.5,
1290,324,297,11.22965658,28.32108269,0,2.5,
1400,359,356,30.93329575,4.81580192,0,2.5,
1420,370,367,28.18770808,10.81147182,0,2.5,
1428,746,369,35.08937826,7.696474378,0,2.5,
1452,381,376,38.61552605,17.45737692,0,2.5,
1470,387,383,13.33738139,29.5738406,0,2.5,
1608,648,439,37.80880938,8.621290438,0,2.5,
1628,641,519,18.94575064,69.62431503,0,2.5,
1630,642,519,18.61669804,65.61332632,0,2.5,
1638,642,520,23.8555377,69.69364997,0,2.5,
1644,531,523,10.62231966,46.01500591,0,2.5,
1652,555,525,59.85027606,23.31301007,0,2.5,
1666,533,529,54.69651152,62.74119625,0,2.5,
1672,540,532,66.5392116,22.2846652,0,2.5,
1684,546,538,13.71604678,43.17467945,0,2.5,
1686,551,538,36.31274228,22.90186825,0,2.5,
1690,551,539,32.24945976,25.23904207,0,2.5,
1698,561,547,56.87082157,20.41116137,0,2.5,
1728,573,564,11.76525966,46.96894028,0,2.5,
